"ID","ISBN","CATEGORY","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL"
569,"9784863496866",TENMACOMICS LO,したいコとしよっ！,鶴山ミト,"2018-1-27","できるコとも、やりたいコとも、
ダメなコとも、全部やっちゃおうよ!!
明るい笑顔、控え目な乳房、華奢な腰、しなやかな四肢。
明るく元気で、健気で、頑張り屋な女の子達の幸せそうな笑顔。
ロリコンだったら大好きに決まってますよね。
少女の笑顔が幸せに輝けば輝くほど、抜ける。抜かずにはいられない。
そんな業を背負った皆さんにうってつけの、鶴山ミト最新刊です！
少女の笑顔に幸あれ!!
【収録作品】
◆トックン！いいんちょう
*S*兄妹*こちょこちょ*ポニーテール
◆ずっとずっと！ね♥
*S*ハーフ*イトコ同士*同年代
◆修学旅行、欠席します。<前編>
*S*眼鏡っ娘*教師生徒*校長室SEX
◆修学旅行、欠席します。<後編>
*S*天然娘*3P*教室SEX
◆あした咲く、蕾
*S*トイレ*可哀相な娘*中出し
◆変恋
*C*眼鏡っ娘*地味娘*イチャラブ
◆コンソレーションマッチ
*C*兄妹*テニスルック*ポニーテール
◆卒業式も、欠席します。
*S*眼鏡っ娘*卒業服*体育倉庫*ラブラブ
鶴山ミト","1000",http://www.akaneshinsha.co.jp/item/itemreco/10956/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/01/978-4-86349-686-6.jpg
570,"9784863496859",TENMACOMICS LO,Implicity 2,東山翔,"2018-1-27","少女創造
LOでしか描き得なかった
著者渾身のSSF（少女＆SF）
ついに完結!!
未来＝少女
未来、もしくは光。
少女愛者が求めて止まない
眩しいモノ。
そして僕らは思い知る。
少女の存在しない世界に
生きられないことを。
・収録作
「episode5 – A.D.town」
「episode6 – Kύων」
「episode7 – Alice」
「episode8 – teardrop1」
「episode9 – teardrop2」
「episode10 – teardrop3」
「episode11 – Implicity」
anecdotes
「Ⅰ. Kyrios」
「Ⅱ. Cynics」
「Ⅲ. Embers」
東山翔","1296",http://www.akaneshinsha.co.jp/item/itemreco/10953/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/01/978-4-86349-685-9.jpg
571,"9784863496842",TENMACOMICS 好色少年,ヒミツの少年団♡,鷹勢優,"2018-1-27","うぇるかむ　とぅ　あんだーぐらうんど♡
あなたは○○人目のイケナイおにいちゃんです♡
ネットの闇の奥深く、
素敵なデリバリーがそこにある！
いろんなタイプの少年たちがあなたを慕う。
お仕事だけど…僕らも気持ちよくなっちゃうよ？
その他好色少年掲載の短編も網羅した、
好色少年レーベル第６弾
鷹勢 優の最新刊ここに登場です♡
【収録作品一覧】 
『ヒミツの少年団♡ SP』
『ヒミツの少年団♡ 1』
『ヒミツの少年団♡ 2』
『ヒミツの少年団♡ 3』
『ヒミツの少年団♡ 4』
『どっちがアイドル？』
『うぉーたーびじねす♡始めました』
『ひみつきちにようこそ！』
『イジワル≒ダイスキ』
『おとこのこせんとうものがたり』
鷹勢優","1296",http://www.akaneshinsha.co.jp/item/10950/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/01/978-4-86349-684-2.jpg
572,"9784863496903",TENMACOMICS 高,女子肛性,バクシーシAT,"2018-2-28","風紀委員長の小生意気なケツが
中も外も真っ赤に染まるまで
愛情たっぷり♡いじめました。
全8作品＋描き下ろしJK専門レーベル著者初単行本!!!!
収録作品:
『特別指導』
『別室指導』
『性感スプレー』
『ネットアイドル マリンたん』
『TITSUでSENずり四十前』
『Sacrifice fly』
『ちんちん電車』
『どすこい先輩』
 ＋描き下ろし
バクシーシAT","1000",http://www.akaneshinsha.co.jp/item/11163/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/02/978-4-86349-690-3.jpg
573,"9784863496897",TENMACOMICS 高,姦しびより。,あかゐろ,"2018-2-28","二人きりのセックスより、もっと熱く、もっと淫らに…♡
尽き果てぬ情欲がJK達のカラダを白く、雌へと染め上げる。
チ〇コもマ〇コも、多い方が気持ちイイ…!!
JK×乱交ならおまかせ♡COMIC高レーベル著者初単行本♪
収録作品:
『ぼっちじゃなくなる〇〇な方法』
『交姦しました』
『上流階級デビュー』
『ふたごくらべ』
『保体のお時間』
『お賽銭はこちらです』
『となりのサンタ』
『るいとも』
あかゐろ","1000",http://www.akaneshinsha.co.jp/item/11160/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/02/978-4-86349-689-7.jpg
574,"9784863496880",TENMACOMICS LO,せっくちゅ♡,いさわのーり,"2018-2-28","正統派ちびっこ漫画からロリ巨乳調教まで、アレやらコレやら逃げも隠れもしてません！これがロリコン漫画のストロングスタイルだ!!
「万引き少女におしおき全裸ＳＥＸ！」「吊りスカート少女をローター責め！」「無知少女にくぱぁをさせる醍醐味！」「変身少女ごっこでパンツの中身をいたずらし放題！」
「かわいいロリっ娘のエッチな縦スジや膨らみかけのオッパイが見たい…見た過ぎる…」そんな願いを唯一叶えてくれるのがロリ漫画であります。小さい身体なのに大事な部分はしっかり女の子で、好奇心も性感帯も発育真っ盛り(その少し手前もまた良いのだが)な少女の可愛さを満遍なく詰め込んだ、ＬＯ作家・いさわのーりの最新刊です。ロリはいいぞ！
収録作品：（）内は内容・傾向です
「どっちにするの？」
…（JS2人の3Psex）
「万引き少女と変態おじさん」
…（JSおしおき全裸ランドセル）
「おケイコお嬢さん」
…（JSお嬢様レオタードにイタズラ）
「楽しいお留守番」
…（JSロリビッチ）
「さきちゃんのキノコ」
…（サンバイザーJS汗だくsex）
「オモチャあそび」
…（吊りスカートJSにイタズラ）
「夏っこ遊び」
…（浴衣JSとラブsex）
「少女の胸はふくらんで」
…（JSロリ巨乳）
「トイレは苺の香り」
…（スーパー裏でJSにイタズラ）
「マジカルＶはるな」
…（魔法少女ごっこ中に逆襲sex）
「あとがき」
いさわのーり","1000",http://www.akaneshinsha.co.jp/item/itemreco/11157/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/02/isawa-cover-270pix.jpg
575,"9784863496934",TENMACOMICS 好色少年,大人のおもちゃ,加藤茶吉,"2018-3-28","俺達がメス穴奴隷にしてやるからね…
クソガキ君♡
おじさん達は大勢で、何時間も、容赦なく、
　　酔わせて…　
　　　　催眠で…　
　　　　　　脅して…
　　　　　　　　愛し合って…
少年の青い身体を貪りつくします。
好色少年レーベル第７弾は、
同人作品大量掲載！
描き下ろし後日談あり！
加藤茶吉入魂の、サービス満点コミックス♡
【収録作品一覧】
『大人のおもちゃ』シリーズ
『夜までの時間』
『メス堕ちＳＮＳ』
『メス堕ち催眠』
『メス堕ち催眠ＺＥＲＯ』
『みんなの肉便器ミナトちゃん』
『ミナトちゃん 牛さんになる』
『少年絶対領域-深夜の秘密-』
加藤茶吉","1296",http://www.akaneshinsha.co.jp/item/11239/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/978-4-86349-693-4.jpg
576,"9784863496989",TENMACOMICS 高,非実在性少女,つりがねそう,"2018-3-28","現実よりもリアル。
かつて体験したはずの
学校生活よりも生々しく、
かつて体験したことがないほど
甘い恋心と、とろけるセックス。
至高の画力でお楽しみ下さい。
ＪＫ専門誌「コミック高」
掲載作品を完全収録した
著者初単行本。
収録作品:
『花ちゃん奮闘記』
『初めての…』
『文香さんの欲しいモノ』
『ごめんね！山田くん』
『お願いしますっ肉子ちゃん』
『三浦君は静かに過ごしたい』
『ルスバンデンワ』
『鈍交』
つりがねそう","1000",http://www.akaneshinsha.co.jp/item/11251/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/978-4-86349-698-9.jpg
577,"9784863496972",TENMACOMICS 高,サカれ性春!!裸外活動,四電ヒロ,"2018-3-28","これは、セックスに青春を捧げた
ＪＫ達の物語である。
校舎で、自室で、ホテルで、野外で。
学生生活最高の快楽を得るため
全身全霊ヤりまくっちゃいます▽
描き下ろし
エピソード収録
著者初単行本！
『PeakingMethod』
『絶頂遊戯』
『絶頂遊戯２』
『セーラー服を脱がさないで？』
『ホットナイト サマーギャング』
『inframe』
『outframe』
『サブカルショック』
『Baby Heavy Howling!』
＋描き下ろしまんが
四電ヒロ","1000",http://www.akaneshinsha.co.jp/item/11249/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/978-4-86349-697-2.jpg
578,"9784863496965",TENMACOMICS 高,放課後ハメ活日誌,石鎚ぎんこ,"2018-3-28","あは…♥つかまっちゃいました…♥
えっちすぎるＪＫの相談事はなんと「セックスの練習」!?!?
毎日放課後ホテルに呼び出されては、濃厚なキス、フェラと
過激になっていくエッチなおねだりに付き合わされ…♥
描き下ろし美麗イラスト収録!!!!!!!
『おじさんレンタ』
『おじさんレンタ case.秋山あかり』
『姉線 -まなざし-』
『ドンくさい私が志望大へ推薦してもらうために、』
『ルーモアギャル→野本さん』
『若宮さんとブタ』
『貧乳(ひんちち)彼女とガッツキ彼氏』
『放課後のマスターマインド』
石鎚ぎんこ","1000",http://www.akaneshinsha.co.jp/item/11247/,http://www.akaneshinsha.co.jp/wp-content/uploads/2018/03/978-4-86349-696-5.jpg
