"ID","FD_ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_FD","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_FD","DL_LINK_JP","LINK_FD","LINK_DL","EH","UPLOADER","SOURCE","COMMENTS"
15,FDH-012,YES,巫女のいる町,Miko no Iru Machi,小鎮巫女,ヒット出版社,はらざきたくま,Harazaki Takuma,2016-02-11,2016-02-10,https://www.dlsite.com/books/work/=/product_id/BJ071226.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=186,https://www.dlsite.com/books/work/=/product_id/BJ270644.html,https://exhentai.org/g/1010768/5e819794b3/,"4K扫图组",新視界,
16,FDH-013,YES,ふわとろ彼女。,Fuwatoro Kanojo.,輕柔即溶彼女。,ヒット出版社,しょうさん坊主,Shousan Bouzu,2016-02-01,2016-03-25,https://www.dlsite.com/books/work/=/product_id/BJ071224.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=192,https://www.dlsite.com/books/work/=/product_id/BJ270645.html,https://exhentai.org/g/914582/52bb017070/,篆儀通文書坊,日版扫本汉化,
17,FDH-014,YES,みんな発情期!,Minna Hatsujouki!,全員發情期!,ヒット出版社,たかのゆき,Takano Yuki,2016-10-10,2016-04-20,https://www.dlsite.com/books/work/=/product_id/BJ094437.html,https://future-digi.com/index.php?route=product/product&product_id=194,https://www.dlsite.com/books/work/=/product_id/BJ270646.html,https://exhentai.org/g/937183/18050b3f1f/,uut,新視界,
18,FDH-015,YES,せんせいと、わたしと。 上,"Sensei to, Watashi to. Jou",老師的秘密、我的秘密。上,ヒット出版社,岡田コウ,Okada Kou,2014-01-13,2016-05-20,https://www.dlsite.com/books/work/=/product_id/BJ032591.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=197,https://www.dlsite.com/books/work/=/product_id/BJ270647.html,https://exhentai.org/g/1866022/6bd5b9c86e/,煉銅術士,未來數位DL/BW,
19,FDH-016,YES,せんせいと、わたしと。 下,"Sensei to, Watashi to. Ge",老師的秘密、我的秘密。下,ヒット出版社,岡田コウ,Okada Kou,2014-01-13,2016-05-20,https://www.dlsite.com/books/work/=/product_id/BJ032592.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=198,https://www.dlsite.com/books/work/=/product_id/BJ270648.html,https://exhentai.org/g/1866027/5f5af4923b/,煉銅術士,未來數位DL/BW,
20,FDH-018,YES,人狼教室,Jinrou Kyoushitsu,人狼教室,ヒット出版社,鈴木狂太郎,Suzuki Kyoutarou,2016-12-01,2016-07-19,https://www.dlsite.com/books/work/=/product_id/BJ098169.html,https://future-digi.com/index.php?route=product/product&product_id=204,https://www.dlsite.com/books/work/=/product_id/BJ270649.html,https://exhentai.org/g/1866028/f98316e4ce/,煉銅術士,未來數位DL/BW,
21,FDH-019,YES,個別えっち指導塾,Kobetsu Ecchi Shidou Juku,個別性愛指導塾,ヒット出版社,ホロナミン,horonamin,2017-02-01,2016-12-05,https://www.dlsite.com/books/work/=/product_id/BJ102738.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=218,https://www.dlsite.com/books/work/=/product_id/BJ270650.html,https://exhentai.org/g/1866013/f30bc4e94b/,煉銅術士,未來數位DL/BW,
22,FDH-020,YES,亡国魔王の星彦くん,Boukoku Maou no Hoshihiko-kun,亡國魔王的星彥君,ヒット出版社,なるさわ景,Narusawa Kei,2017-03-04,2016-12-22,https://www.dlsite.com/books/work/=/product_id/BJ104828.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=220,https://www.dlsite.com/books/work/=/product_id/BJ270651.html,https://exhentai.org/g/1087384/997c33c520/,YugumoKai,未來數位扫本,
23,FDH-022,YES,はついくコレクション,Hatsuiku Collection,發育少女觀察手冊,ヒット出版社,イコール,Equal,2017-03-11,2017-01-11,https://www.dlsite.com/books/work/=/product_id/BJ104829.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=223,https://www.dlsite.com/books/work/=/product_id/BJ270652.html,,,,
24,FDH-023,YES,あべもりおかの…（仮）,Abe Morioka no ...(Kari),安部盛岡的…（情色漫畫家生活日誌）,ヒット出版社,あべもりおか,Abe Morioka,2017-01-12,2017-03-03,https://www.dlsite.com/books/work/=/product_id/BJ100871.html,https://future-digi.com/index.php?route=product/product&path=70&product_id=230,https://www.dlsite.com/books/work/=/product_id/BJ270653.html,,,,
