"ID","ISBN","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL"
559,"978-4823603860",only my idol,有馬紘一,"2022-11-25","「推したおして、私のこと──」

純愛界のセンター作家・有馬紘一による待望の初単行本が遂に登場!!

大好きな先輩と近づきたい健気な後輩JKをはじめ、
兄とお嫁さんになるため上京してきた妹系幼馴染、
バイト先の店長を振り向かせたい爆乳ポニテJK  etc...

あなただけの一番（アイドル）になりたい女の子たちが大集合♪

さらにデジタル特装版では限定特典として、描き下ろしコミック12Pも特別収録!!

【収録作品】
『おんりーMYあいどる』
大好きな先輩の「推しアイドル」に嫉妬した後輩JKが、可愛げたっぷりに誘惑アタック♪
前後編でお届けする健気女子の恋愛奮闘ストーリー！

『れっつYou＆I』
交際歴半年の彼氏の誕生日に、クラスメイト兼カノジョの黒髪清楚系JKがお祝いハジメテH★

『はるらんまん』
「女性」の体になって田舎から上京した妹系幼馴染が、都会のお兄ちゃんに成長伝える求愛SEX♪

『月夜に願いを込めて』
喫茶店で働く爆乳美少女JKが、バイト最後の日に店長と年の差ご奉仕イチャラブH！

『素直になれないボクら』
ボーイッシュなスポブラ悪友JKが、自分で勃起した幼馴染をからかいながらの小競り合い交尾★

『ご褒美は二次会の後で』
サークルの美人JDな先輩が、懐いてきた後輩と秘密の二次会後に甘え合いSEX♪","1430",https://comic.gotbb.jp/comics/separatevolume/onlymyidol,https://comic.gotbb.jp/images/products/20221109_203620_ZAfkY.jpg
560,"978-4823603853",いーと・みーと,うしのみや,"2022-11-25","隠れ肉食女子たちからお誘いファック♪

ママみ溢れる家出JK、運動後ムラムラ止まらぬ小麦肌JK、
寝取り好き小悪魔JK、清楚系隠れ痴女JK etc…

見た目は清楚、中身はヤリたい盛りな理想のJKてんこ盛り♪
満腹必至！ comicアンスリウム誇るとろあま発情JK職人、待望のGOT待望初単行本!!!

さらに！ デジタル特装版限定同人作品19ページ特別収録☆

＜収録作品＞
『もう少しこのママで』
『小麦色シークレット』
『その妹、悪魔的』
『彼女は隠れ痴女』
『キューピットは別人格』				
『スイート・ジンジャークッキー』
『初めてと、レオタード。』		
『隣のBitch beat』
『母乳カフェ MOOMOO』
『なつめさんはチョロすぎる！』","1320",https://comic.gotbb.jp/comics/separatevolume/eatmeat,https://comic.gotbb.jp/images/products/20221109_202825_BBSCg.jpg
561,"978-4823603907",頬、濡らすように恋をして,ひなづか凉,"2022-11-30","気軽に部屋にやってくる後輩女子の坂木ちゃん。気のおけない関係から一歩進めたいけど、彼女には付き合っている彼氏がいて…。そんなある日、通り雨にずぶ濡れてやってきた坂木は、彼氏に二股をかけられた挙げ句捨てられたという。半ば自暴自棄にSEXを誘ってくる彼女と、流されるまま身体を重ねる先輩とのカンケイは…。

「カラダ重ねてもまだ物足りナイ、そんな気持ちを埋めたくてーー。」
ひなづか凉のGOT初コミックスは、募る思いに張り裂けそうな銘篇7本を収録。この冬一番熱い至上の恋愛模様をお届け！

デジタル特装版では、さらに2本のエピソードを追加収録した豪華版となっております!!","1375",https://comic.gotbb.jp/comics/separatevolume/hohonurasuyouni,https://comic.gotbb.jp/images/products/20221109_205304_nOyEg.jpg
562,"978-4823603891",僕と彼女のお母さん,北澤産業,"2022-11-30","同級生の香織に告白され付き合うことになったリョウ。
だが彼が本当に好きなのは彼女の母親・美咲だった…！
「僕がおばさんの不倫相手じゃダメですか？」
リョウの熱烈なアプローチに根負けして一度体を許してしまったのをきっかけに、
美咲の秘めていたメスの本能が燃え上がる…！

彼女とおうちデート中に浮気セックス、
部活の合宿中に体育倉庫で猛烈ピストン、
花火大会の人混みの中で密着挿入、
二人きりで温泉旅行、そして…。
FANZA同人で人気の人妻セックスシリーズが、描き下ろしエピソードを追加して単行本化！","1870",https://comic.gotbb.jp/comics/separatevolume/bokutokanojyonookasan,https://comic.gotbb.jp/images/products/20221109_204654_Sv3Aa.jpg
563,"978-4823604010",これから,たまび,"2022-12-13","「頑張って喘がせて、ね。」

純で生々しい筆致が冴え渡る、たまび待望のGOT初作品集。

AV女優のお姉さんと、淡い初体験をしたりー。
互いに失恋SEXのつもりが、本気になったりー。
苦手なはずの同級生と、一晩中温めあったりー。
再会した昔の恋人と、もう一度確かめあったりー。

不器用だけど愛おしい、ふたりたちの日々。
デジタル特装版には、ここだけのエピソードも追加収録。","1320",https://comic.gotbb.jp/comics/separatevolume/Korekara,https://comic.gotbb.jp/images/products/20221201_160127_5GpZJ.jpg
564,"978-4823604003",ねことげぼく,大田優一,"2022-12-13","「私専用のち〇ぽになりなさい！」

隣の席に座る猫耳しっぽの美少女・ナオ。
彼女に好意を抱き告白をした主人公・アキトだが、「貴方、誰？」と素っ気ない態度を取られてしまう…。
名前すら覚えられていないショックから、エロ漫画の知識を使って、ナオへのレイプを決行‼
しかし、強気な姿勢を崩さないナオに「臆病者」と蔑まれながら、逆に童貞を奪われちゃって――⁉
それでも、ナオを恐れずに話しかけにいくと、彼女に気に入られ『下僕』に任命されるのであった――。

成人向け初コミックス☆ 大田優一が生み出す、ツン度98％‼ 傲慢お嬢様・ナオに、骨ヌキにされちゃうこと間違いナシ⁉
さらに! ボクっ娘小悪魔・ミアに、魔性のおっとりお姉さん・リンとエロかわにゃん娘がい〜っぱい☆
さまざまな猫耳美少女たちに飼われ、罵られ、弄ばれる極上のペットライフが貴方を待っている――。

まだまだあるよ♪
単行本描き下ろしとして、ナオとの特別な日常を描いた、後日談を8pを特別収録☆","1100",https://comic.gotbb.jp/comics/separatevolume/nekotogeboku,https://comic.gotbb.jp/images/products/20221201_155605_6scty.jpg
565,"978-4823603990",好きなひと、好きなこと,エビフライ定食,"2022-12-13","言葉で、体で、深くまで。「好き」で繋がる6つの物語。

comicアンスリウムでデビュー後、確かな「熱」を感じるセックスを描き続け注目を集める新鋭・エビフライ定食のあつあつエッチ大盛り初単行本が登場！

クールな先輩OLの意外なお誘いから始まる一夜、
巨乳先輩と両思い発覚からの超熱烈えっち、
海で出会ったおとなしめな女性が本性現す大胆アプローチ、
教師二人が教室でハマっちゃう放課後セックスetc…

合言葉は「他の誰でもない、あなたとふたりで」。

デジタル特装版にはデビュー作『自信のつけかた』のその後を描いたエピソードを追加収録！","1320",https://comic.gotbb.jp/comics/separatevolume/sukinahitosukinakoto,https://comic.gotbb.jp/images/products/20221201_155118_EGupk.jpg
566,"978-4823603877",電脳ビッチ -レッツプレイ！-,空想,"2022-12-13","VRエロゲ体験の真髄ここにあり♡

氷の小女帝の異名を持つ有能OL・相田桃。
そんな彼女の正体は末期的エロゲー中毒者だった‼
私生活の全てをエロゲーに捧げる桃が大金をはたき購入したのは体験型VRベッド。
めくるめくエロの世界に心踊らせる桃だったが、いきなり群がるゴブリンに容赦なく
犯されてしまう。
超絶ハードな展開に桃のアソコもびしょ濡れに――⁉
非日常陵辱のオンパレード連載作が待望のコミックス化！！","1485",https://comic.gotbb.jp/comics/separatevolume/dennoubitch,https://comic.gotbb.jp/images/products/20221201_154421_rW0qU.jpg
567,"978-4823604034",アオハルcuriosity,maco,"2022-12-26","知りたい … キミとこの先を――

優等生JKから噂のビッチギャルまで♪
魅力あふれる巨乳美少女たちを、描き下ろし漫画13P収録でたっぷりお届け！
ダメとわかっても止められない好奇心を思い出す☆
甘くて苦い、誰もが夢見た青春を描くmaco待望のGOT初作品集!!!","1210",https://comic.gotbb.jp/comics/separatevolume/aoharucuriosity,https://comic.gotbb.jp/images/products/20221206_160015_5RxpV.jpg
568,"978-4823604027",汗まみれ愛まみれ,きのみき,"2022-12-26","私の匂いに執（とら）われて──。

コミックマグナムの新鋭・きのみきが贈る1st単行本が遂に登場!!

秘部！ 脇！ うなじ！
嫌がる女と強制クン嗅ぎSEX!!
逆痴漢で誘う上司に3連続中出し!!

カラミ蕩ける男女7組が放つ艶香に興奮必至♪

さらに本編8作品の描き下ろし後日談も追加収録!!","1320",https://comic.gotbb.jp/comics/separatevolume/asemamireaimamire,https://comic.gotbb.jp/images/products/20221206_155401_ExoqV.jpg
569,"978-4823604072",えんじょいはっぴ〜！,みよし,"2022-12-27","「激しくするのもされるのも…だ〜いすき！」

漫画を読みに来ただけのはずのギャルとハメまくりお泊まり、
猫を保護してくれたご無沙汰人妻と発情ニャンニャン、
ウブな幼馴染とのブレーキ無し超燃え上がり初めてエッチ、
シェイプアップ目指して全身揺れまくり超ハードセックス…etc！

強烈ピストンに大量射精、誘惑する爆乳に激しめ絶頂…どれを取っても圧倒的興奮度！
説明不要のパワフルセックスプレゼンター・みよし初単行本が遂にリリース！
抜かずにはいられない問答無用のエロパワーがみっちりです！
どうせヤるなら楽しく気持ちよく！

デジタル特装版にはなんと漫画3本を追加収録!!

【収録作品】
・ギャル in my room
・ギャルげっちゅ
・好奇心は猫をも…？
・にゃんぷて〜しょん
・はっぴーせくささいず
・ふつつ彼女
・エン女医！

デジタル特装版追加分：
・鹵獲悪魔の末路
・この子はあの子!?
・ゆびきりげんまん","1320",https://comic.gotbb.jp/comics/separatevolume/enjoyhappy,https://comic.gotbb.jp/images/products/20221206_162134_ZVo4H.jpg
570,"978-4823604065",わたしと一緒に…,江鳥,"2022-12-27","剥いてさしあげます…
王子の果実♥

愛する王子を監禁し犯すヤンデレ女騎士…
自分を助けた男をショタ化して「恩返し」するカラス娘…
城の地下に眠る呪いの魔女に搾り取られる兄弟王子…
そして魔女に女体化された兄王と弟王の交わり…

ファンタジー世界ならではの多彩な魔性ヒロインがショタを搾りまくる！
『comicアンスリウム』のファンタジーエロスマイスター・江鳥が贈る
幻想プレイフルコース作品集！！

デジタル特装版には『王国の礎』『それが貴方の為に』の後日談となる10ページ描き下ろし
『いつまでも続く願い』を追加収録‼︎","1430",https://comic.gotbb.jp/comics/separatevolume/withme...,https://comic.gotbb.jp/images/products/20221206_161534_3r5PT.jpg
571,"978-4823604058",隙あらば彼氏の性癖を歪めたい!,めえお,"2022-12-27","累計17万DLの
大人気同人シリーズが
超待望の単行本化!!!

社会人2年目の美咲は
幼馴染みの年下大学生・ゆーくんと交際中。

とある週末、仕事終わりにゆーくんの家で過ごしていると
偶然、使用済みオナホールを発見してしまう。

「使ってるところ見せてよ」

イタズラな好奇心に火が付いた美咲はゆーくんをオナホで責めだしてーー？

全編加筆修正のうえ、
""ゆーくんとラブホでえっち""を楽しむ
描き下ろし番外編18Pを豪華収録♪

<収録作品>

「隙あらば彼氏の性癖を歪めたい!」

「隙あらば彼氏の性癖を歪めたい！ ～君の喘ぎがまだ足りない～」

「隙あらば彼氏の性癖を歪めたい！ ～ガマン限界っ!!いちゃラブ温泉旅行～」

「描き下ろし」","1485",https://comic.gotbb.jp/comics/separatevolume/seihekiwoyugametai,https://comic.gotbb.jp/images/products/20221206_161016_KJAW9.jpg
572,"978-4823604041",メス10色,なしぱすた,"2022-12-27","メス便器、イロエロ揃ってます♪

お堅い風紀委員長も、男勝りな性悪女も、性に潔癖な女教師も、硬派なヤンママも…
メスは全員、オスを気持ちよくするためのイキモノなんです♪

 痴漢、レイプ、催眠…合計260ページ超えのむっちりボリュームで、10作品10色の快楽堕ち☆
さらに!! デジタル特装版限定で、計22ページ、２作品を特別収録☆

色欲に染まる肉感オトメ絵師・なしぱすたが贈る、待望のGOT初単行本!!

【収録作品】
『電車のナカで』
『続・電車のナカで』(カラーコミック！)
お嬢様学園に通う清楚な生徒会長の結衣は、弱みを握られ一週間痴漢行為を受けることになってしまう。
電車の中での潮吹き、素股、おもちゃプレイ、さらにはコートの下に隠したエロ下着姿の痴女ルックな結衣は必見です！

『風紀委員 一条の敗北』
『風紀委員 一条の敗北 after』
乱れた風紀が大嫌いなお堅い風紀委員・一条は、転校してきたチャラ男・瀬戸に大敗北!! その日から一条は、校内セックスを強いられて――。
バイブを突っ込まれ、即挿入、乳首責め、セーラーコスプレで絶頂アクメ！ その後は、複数人に囲まれて…♪

『彼女がメスになった日』
クラスのボーイッシュな不良女・七瀬の横暴に耐えかねた宮原は、七瀬の裸を写真におさめ、写真を消すことを条件に「１週間カラダを好きにさせること」を約束させるけどーー。
爆乳を好き放題揉みしだかれ、ネコ耳姿でガニ股騎乗位で連続イキ!! 

『だらしなく堕ちるお姉さんは好きですか？』
妹にできた素行不良の彼氏から妹を守るため、妹の代わりに自らの体を差し出すクールな姉は、いつのまにか肉欲に溺れていく！
トイレの中で妹にバレないように声を潜めて絶頂する強気な彼女は、土下座でち●ぽを懇願するまでに♪

『だらしなく堕ちる先生は好きですか!?』
性に潔癖な女教師は、淫行を注意した教え子たちから手首を拘束され、3Pでの快楽責めに遭ってしまう！
拘束されながらクリを電マで責められる内に、アヘ顔ダブルピースで大絶頂!!!

『硬派気取りの元ヤンママ』
旦那とのセックスレスから欲求不満な元ヤン義母は、出来心で息子の精子付きパンツでオナニーしてしまう！
そんな行為が息子にバレて、その豊満な褐色小麦肌ボディを好き放題!! 二穴挿入で完堕ち確定♪

『催眠ヘルスルーム』
“常識改変催眠アプリ”で操られたメガネで真面目な保健室の先生は、知らぬうちに感じやすいカラダにされてしまい――。
ローター、バイブを複数挿入され開発された体の疼きに、催眠なしでも発情顔で自ら性器を拡げてオネダリして♪

『恥辱のターゲット』
特殊捜査官で勝ち気なレナは、媚薬を密造する小悪党に逆に捕らえられ、恥辱の限りを尽くされる！
陥没乳首を吸い出さた上、媚薬での強制キメセクに、M女丸出しでアヘ顔晒して肉便器宣言！

『クラブアクティビティ』☆デジタル特装版限定収録！ (カラーコミック！)
科学部を廃部にしよう画策する生徒会長は、部員に媚薬を飲まされ、アナルに極太バイブを突っ込まれ、その凄まじい感覚に自ら快楽を求め始める…！ 
カラーで描かれる汁感描写が見どころです♪

『快楽ヒロインミリア』☆デジタル特装版限定収録！ 
政府の治安機構であるミリアは、怪人に捕らわれ、突起がついた極太ペニスで容赦なく辱めを受けることになり――。
触手ち●ぽで全身辱められるミリアは、２穴挿入で膣やアナルをガバガバにされながら、自ら膣を拡げて怪人の精液をおねだりして妊娠してしまう！","1540",https://comic.gotbb.jp/comics/separatevolume/mesutoiro,https://comic.gotbb.jp/images/products/20221206_160443_ad77B.jpg
