"ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_CN","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_PUBLISHER","LINK_JP","LINK_PUBLISHER","COMMENT","SERIES","SERIES_ID","PRICE","PAGE","EH","UPLOADER","SOURCE","TAGS","QUOTE"
AGL-001,YES,ともだちっくす,Tomodachix,朋友間的淫事,ANGEL,デコセンタクジ,Dekosen Takuji,"2017-01-17","2020-10-15",http://angelcomics.jp/product/index.html?filter_auth=%E3%83%87%E3%82%B3%E3%82%BB%E3%83%B3%E3%82%BF%E3%82%AF%E3%82%B8,https://www.gman.com.tw/archives/548,"到底是朋友還是砲友？

青梅竹馬的吉村拓也與珠洲葉，雖然不是男女朋友，卻有著無以倫比的親密關係，不管是第一次與異性牽手，接吻還是做愛，彼此都是最好的練習對象。

直到有一天，待業中的拓也遇見了給自己一份工作的菱丸地所美女部長－冰見川可憐小姐，事情開始有了變化。","",,200,"186","","","","",""
AKA-001,NO,とくべつな毎日,Tokubetsu na Mainichi - Special daily,特別的每一天,茜新社,柴崎ショージ,Shibasaki Syouzi,"2016-07-28","2020-08-25",http://www.akaneshinsha.co.jp/item/7793/,https://www.gman.com.tw/archives/389,"發生在平凡的日子但卻是難忘的回憶……
但這就是青春……
篤志與小晶是青梅竹馬的情侶
但從小到大都練著棒球的篤志
決定放棄棒球而準備就業
看著失去幹勁的篤志，小晶決定拉著篤志去三天二夜的旅行！

收入共8篇充滿愛與青春的短篇集！",TENMACOMICS 高,3,220,"210",https://exhentai.org/g/2211296/f0e213d1ed/,moesnow,BOOKWALKER,"",""
GGO-001,YES,きみとえっち,Kimi to H,跟你做色色的事,GOT,きくらげ,Kikurage,"2016-04-25","2021-11-13",https://comic.gotbb.jp/comics/separatevolume/kimitoecchi,https://www.gman.com.tw/archives/708,"眾所期盼，神級美少女繪師的首本單行本華麗登場！
隔了幾年又見到了兒時玩伴的千繪，
小我一歲的千繪不再是那時瘦小的屁孩，
已經是個「女人」了。
而且還逐漸成長為我最喜歡的巨乳，實在讓人心癢，
因為千繪說很久沒來我家玩，所以帶了她回家，
但那麼「兇」的模樣…實在…讓我靜不下心……

小浩！你看！人家啊，已經變大了喔!!
你要確認看看嗎!?","",,250,"235/9",https://exhentai.org/g/2070343/4014aee24d/,K4W1H0R53,READMOO,"",""
GKE-001,NO,偽物家族　義父に堕ちていく姉妹,Nisemono Kazoku - Gifu ni Ochite Iku Musume,誘拐中出～為愛而沈淪的少女們,クロエ出版,ハルサワ,Harusawa,"2019-07-05","2022-11-30",https://shingeki.jp/tan_book/%e3%80%8e%e5%81%bd%e7%89%a9%e5%ae%b6%e6%97%8f%e3%80%80%e7%be%a9%e7%88%b6%e3%81%ab%e5%a0%95%e3%81%a1%e3%81%a6%e3%81%84%e3%81%8f%e5%a7%89%e5%a6%b9%e3%80%8f/,,"沈浸在肉慾交織的泥沼裡而不可自拔，

是為了愛還是為了性早已分不清。",,,,,https://exhentai.org/g/2390458/6fe7b3ff09/,LzNO_Hentai,BOOKWALKER,,
