"ID","CENSORED","TITLE_JP","TITLE_ROMA","TITLE_CN","PUBLISHER","AUTHOR","AUTHOR_ROMA","DATE","DATE_PUBLISHER","LINK_JP","LINK_PUBLISHER","COMMENT","SERIES","SERIES_ID","PRICE","PAGE","EH","UPLOADER","SOURCE","TAGS","QUOTE"
TAK-001,YES,過ち、はじめまして。 1,"Ayamachi, Hajimemashite. 1",無法抗拒的誘惑(01),竹書房,色白好,Shikishiro Konomi,"2012-10-27","2020-01-23",http://www.takeshobo.co.jp/book_d/shohin/2536401,https://www.gman.com.tw/archives/78,"朝雛清代美以清純及美貌聞名於校園。

對她抱有好感的吉田，

在夜晚四下無人的研究室目擊她與教授的外遇現場

隔天向朝雛表白的吉田，竟被朝雛帶到愛情賓館……。

「我要讓吉田同學，體驗跟我一樣的感受──」","",,200,"197","","","","",""
TAK-002,YES,女主任・岸見栄子 1,Onna Shunin - Kishi Mieko 1,俏麗女主任的肉體色誘戰術行得通嗎？(01),竹書房,小武,Xiaowoo,"2017-03-17","2020-01-23",http://www.takeshobo.co.jp/book_d/shohin/2808001,https://www.gman.com.tw/archives/12,"竹六股份有限公司的異端單位‧總務部第三課，其實身負著無法搬上檯面的重大任務…！

為了與那些擁有特殊喜好的客戶談判、簽約，奉深藏不露的精明課長椎名之命──

小女子不才。女主任‧岸見榮子，「今天也要脫光光囉～♡」","",,200,"171","","","","",""
TAK-003,YES,女主任・岸見栄子 2,Onna Shunin - Kishi Mieko 2,俏麗女主任的肉體色誘戰術行得通嗎？(02),竹書房,小武,Xiaowoo,"2017-10-17","2020-01-27",http://www.takeshobo.co.jp/book_d/shohin/2808002,https://www.gman.com.tw/archives/267,"竹六股份有限公司總務部第３課的岸見榮子，
是位運用肉體進行色色業務接待、
暗中幫部門敲定合約的天然系桃色陷阱師♡
與精明課長、巨乳ＯＬ還有悶騷系統工程師合力，

小女子不才。女主任‧岸見榮子，
今天也要脫個精光囉♡","",,200,"166","","","","",""
TAK-004,YES,過ち、はじめまして。 2,"Ayamachi, Hajimemashite. 2",無法抗拒的誘惑(02),竹書房,色白好,Shikishiro Konomi,"2013-07-05","2020-03-02",http://www.takeshobo.co.jp/book_d/shohin/2536402,https://www.gman.com.tw/archives/214,"與大學教授外遇的朝雛清代美，

和吉田持續著僅止於肉體的關係，

但吉田對這種無法成為戀人的關係產生厭倦。

同時，打工同事的井上芹菜開始對吉田示好，

吉田也慢慢被她直率的心意吸引。

然而暑假一結束，朝雛和教授的外遇醜聞在校園中爆發出來……。

刻畫出戀愛最真實面貌的戀愛劇，堂堂完結！！","",,200,"198","","","","",""
TAK-005,YES,ネトラセラレ 1,Netoraserare 1,NTR老公要求別人玩弄我(01),竹書房,色白好,Shikishiro Konomi,"2014-07-26","2020-03-25",http://www.takeshobo.co.jp/book_d/shohin/2544101,https://www.gman.com.tw/archives/1,"結婚第二年的伊澄秀次郎和春花，

是人人稱羨的理想夫妻。

雖然兩人看似幸福，並彼此相愛著。

不過某一天，秀次郎向春花吐露他

隱藏已久的暗黑慾望。

「我想看妳被別的男人上──」！","",,200,"198","","","","",""
TAK-006,YES,女主任・岸見栄子 3,Onna Shunin - Kishi Mieko 3,俏麗女主任的肉體色誘戰術行得通嗎？(03),竹書房,小武,Xiaowoo,"2018-08-07","2020-03-25",http://www.takeshobo.co.jp/book_d/shohin/2808003,https://www.gman.com.tw/archives/280,"竹六股份有限公司總務部第３課的女主任‧岸見榮子，

是位暗中幫部門敲定合約的天然系桃色陷阱師♥

在可靠過人的巨乳妹以及好色系統工程師輔佐之下，

今天也要好好活動身體，

達成課長發布下來的性感機密任務♥♥","",,200,"166","","","","",""
TAK-007,YES,ネトラセラレ 2,Netoraserare 2,NTR老公要求別人玩弄我(02),竹書房,色白好,Shikishiro Konomi,"2015-07-27","2020-04-25",http://www.takeshobo.co.jp/book_d/shohin/2544102,https://www.gman.com.tw/archives/181,"結婚第二年後，丈夫秀次郎要求妻子春花和其他男人做愛。

某一天，春花高中時期的戀人．高倉，出現在兩人面前。

「下次我想…跟高倉學長做──」","",,200,"198","","","","",""
TAK-008,YES,女主任・岸見栄子 4,Onna Shunin - Kishi Mieko 4,俏麗女主任的肉體色誘戰術行得通嗎？(04),竹書房,小武,Xiaowoo,"2019-04-26","2020-04-25",http://www.takeshobo.co.jp/book_d/shohin/2808004,https://www.gman.com.tw/archives/298,"竹六股份有限公司總務部第３課的女主任‧岸見榮子，

是位暗中幫部門敲定合約的天然系桃色陷阱師♡

奉深藏不露的精明課長椎名之命，

與巨乳ＯＬ布丁、悶騷系統工程師及菜鳥打工妹通力合作，

誠心誠意地滿足每位客戶的性癖好♡","",,200,"166","","","","",""
TAK-009,YES,女主任・岸見栄子 5,Onna Shunin - Kishi Mieko 5,俏麗女主任的肉體色誘戰術行得通嗎？(05),竹書房,小武,Xiaowoo,"2020-03-13","2020-11-05",https://www.takeshobo.co.jp/book_d/shohin/2808005,"","竹六股份有限公司總務部第３課的女主任．岸見榮子，
是位暗中幫部門敲定合約的天然系桃色陷阱師♥
有時需要賭上公司命運和駭客談判，
有時又會突然被客戶求婚……!?

小女子不才。女主任．岸見榮子，只要脫衣、萬事搞定♡","",,200,"164","","","","",""
TAK-010,YES,ネトラセラレ 3,Netoraserare 3,NTR老公要求別人玩弄我(03),竹書房,色白好,Shikishiro Konomi,"2016-07-27","2020-05-28",http://www.takeshobo.co.jp/book_d/shohin/2544103,https://www.gman.com.tw/archives/200,"被老公秀次郎要求和其他男人上床的春花，

決定下一個對象是高中時期的戀人・高倉。

看著兩人的行為，秀次郎感受到強烈的嫉妒及興奮，

最後春花終於提出了離婚協議書…！

但秀次郎卻大聲宣言不會離婚也不會停止讓她跟別人做愛。

甚至將對象升級成自己的朋友──。","",,200,"200","","","","",""
