"ISBN","FORMAT","TITLE","ARTIST","DATE","DESCRIPTION","PRICE","URL","THUMBAIL","QUOTE","EH"
"9784860847388",A5,女教師京子 ～快楽調教室～,中華なると,"20100325",剣道部顧問の美人教師京子。その精悍な美貌に汚れた執着を抱く教頭は、淫色も魔罠を決行。女教師の身体へ施される性感改造と快楽漬けの関係。やがて、あの颯爽たる規律と風紀は堕落へと導かれてゆく！あの美人女教師が単行本になって帰ってくる！厳格女教師性奴隷調教劇！,1028,https://comic.gotbb.jp/comics/separatevolume/chuka001,https://comic.gotbb.jp/images/products/20160413_010623_x6zSh.jpg,"",https://exhentai.org/g/457067/b6e4543c84/
"9784860847401",A5,らんじぇりー＊ぱにっく,けんたろう,"20100424","女だらけの下着メーカー『らんじぇりー＊ぱにっく』で運よく働けることになった三木下歩。下着への情熱が、どこをどうしてこうなった！？
社内で出会う女性と片っ端からHすることになって・・・。本命との恋とHは果たして成就するのか！？",1028,https://comic.gotbb.jp/comics/separatevolume/lingerie,https://comic.gotbb.jp/images/products/20160413_010914_2VtbA.jpg,"",https://exhentai.org/g/368188/c4bd7a33e1/
"9784860847425",A5,淫宴玩具姫嬲り,東航,"20100525",電子マガジン「コミックマグナム」の好評連載作品、ついに単行本化！女達が抵抗しても抜け出せない性玩具の宴！男達が穴という穴に嬲り欲望を爆発させる！心身崩壊寸前の絶頂アクメ淫姦凌辱！！,1028,https://comic.gotbb.jp/comics/separatevolume/inen,https://comic.gotbb.jp/images/products/20160413_011335_Vk2t9.jpg,"",https://exhentai.org/g/371082/0a89183e6d/
"9784860847449",A5,母が白衣を脱ぐとき1,横山ミチル,"20100625",看護師長の倉持朝美は、清潔で凛とした勤務態度で病院では一目置かれる存在。ある日、骨折した少年が入院してきた。彼の怪我は、自分の息子が負わせたものだという。問題にされたくなかったら自分に付き合えと、かねてから誘われ続けていた医師・八雲に脅され、朝美は屈辱の決断を下す。。。恥辱と悦楽の絶対服従！爆発的人気を誇った電子配信コミック、衝撃の第一巻！,1028,https://comic.gotbb.jp/comics/separatevolume/hahaga,https://comic.gotbb.jp/images/products/20160413_011620_WJDDa.jpg,"",https://exhentai.org/g/295660/e194f510bd/
"9784860847470",A5,義父～百合子～,中華なると,"20101224",清楚な嫁を魔改造する義父嫁調教！！嫁の身体を貪る淫猥義父。披露宴、初夜、新婚生活にまで執着をみせる嫁調教。セックス漬けにされる新妻の貞淑は、性中枢に堕落を巣食ってゆく！,1028,https://comic.gotbb.jp/comics/separatevolume/gichichi,https://comic.gotbb.jp/images/products/20160413_011912_Tymlx.jpg,"",https://exhentai.org/g/814270/475e18b4ca/
"9784860847487",A5,Holy Knight (ホーリーナイト) 01,宮崎摩耶,"20110725",「私と一緒にめちゃめちゃになろ？」平凡な学園生活を送っていた水村心太に、突然襲いかかってきた謎の美少女・岸本リリス。紅い瞳に、紅く長い髪。この出会いは、全ての始まりにすぎなかった。古より複雑に絡み合う運命の糸が、今ほどけていく…。エロティック・ファンタジーの決定版!!,630,https://comic.gotbb.jp/comics/separatevolume/holy-knight-01,https://comic.gotbb.jp/images/products/20160413_012334_SJyOl.jpg,"",https://exhentai.org/g/413869/e856cc70c9/
"9784860847494",A5,女装奴隷ユウ,まいなぁぼぉい,"20110725",電子マガジン「コミックマグナム」の好評連載作品、ついに単行本化！倒錯した女装SMの扉がいま開放する!!完全無欠のLadyBoyへの強制調教!!,1028,https://comic.gotbb.jp/comics/separatevolume/yuu,https://comic.gotbb.jp/images/products/20160413_012138_naVft.jpg,"",https://exhentai.org/g/456611/bcb0084a7a/
"9784860847524",A5,愛欲蟲～地下牢姦禁～,紫恩,"20110825",憧れのお姉さんであり幼馴染のアカリさん。僕のいちばん大事な人だ。ある日をきっかけに男女の仲になった僕たちは、この幸せが永遠に続くものだと思っていた。そう、同じ大学に通う「あの女」が部屋に来るまでは…。電子マガジン「コミックマグナム」で連載された問題作、ついに単行本化！,1028,https://comic.gotbb.jp/comics/separatevolume/aiyoku,https://comic.gotbb.jp/images/products/20160413_012930_EqYu2.jpg,"",https://exhentai.org/g/446326/fef82655ce/
"9784860847517",A5,母が白衣を脱ぐとき2,横山ミチル,"20110825",もう後戻りできない…「病室でこんなことするなんて…」朝美、息子の友達と。あみな、朝美の息子と。モラルと情欲の狭間でしか得られない、最大禁忌の興奮!!,1028,https://comic.gotbb.jp/comics/separatevolume/hahaga2,https://comic.gotbb.jp/images/products/20160413_012558_Ti8OI.jpg,"",https://exhentai.org/g/603366/99a77ca5d5/
"9784860847555",A5,侵蝕の刻～兄嫁の咽び～,唄飛鳥,"20111025",「アナタ・・・ごめんなさい・・・私・・・今から犯されます」繰り返される義弟の狡猾な恥辱に兄嫁の身体は蝕まれていく！！,1028,https://comic.gotbb.jp/comics/separatevolume/shinsyoku,https://comic.gotbb.jp/images/products/20160413_013140_8kaXS.jpg,"",https://exhentai.org/g/842193/a07f7898e1/
"9784860847579",A5,妹いじりとママあそび,蛙子丁字,"20111121","イキすぎる母を絶頂調教恥姦！
決壊させられる母親の理性。息子の性欲に満ちた悪戯に母の身体は女の肉体へと変えられてゆく…",1029,https://comic.gotbb.jp/comics/separatevolume/imoutomama,https://comic.gotbb.jp/images/products/20160413_013533_Jan1i.jpg,"",https://exhentai.org/g/812965/928c4b4158/
"9784860847609",A5,へんたい♡山本さん,宮野金太郎,"20120123",「アタシのアソコめくれあがってりゅー!!!」本書は女という生き物が”ド変態”であることを隠しません…,1028,https://comic.gotbb.jp/comics/separatevolume/yamamoto,https://comic.gotbb.jp/images/products/20160413_013813_K1jKf.jpg,"",https://exhentai.org/g/601125/778f21607e/
"9784860847623",B4変形,W・TAILS CAT 1,士郎正宗,"20120222",手加減無しの濃厚エロス!!国際的評価を受ける人気クリエイター・士郎正宗が本気で挑んだ淫艶で美麗な極エロティック・イラストストーリー登場!!火星に作られた新都市を舞台に深窓のご令嬢だけど、ずば抜けてエッチなシリル・ブルックリン嬢が、汁まみれやら、○○の検査やら、複数の男たちに××な尋問を受けたり…!!なんか、すっごいコトいっぱいされます?B4版変形という大型サイズで繰り広げる、大迫力の淫靡絵巻をしゃぶり尽くせ!!!!,3065,https://comic.gotbb.jp/comics/separatevolume/wtails-cat,https://comic.gotbb.jp/images/products/20160413_014153_GWzwZ.jpg,"",https://exhentai.org/g/536725/4abe54f57b/
"9784860847647",A5,禁忌猟域,くろ,"20120324",主婦、OL、学生。ごく普通の女たちを突然襲う、非道セックス!欲望に歯止めをかけない男たちの手で、「普通に犯される」ことさえ、許されない女たちの絶叫と蹂躙される身体がどのページにもみっちり!!「女」を「壊す」、極凌辱ハード系アダルト・コミック珠玉の一冊が登場!!!!,1028,https://comic.gotbb.jp/comics/separatevolume/kinryouiki,https://comic.gotbb.jp/images/products/20160413_014004_t1oIU.jpg,"",https://exhentai.org/g/887772/8d861e464f/
"9784860847654",A5,桃色ナース,桃之助,"20120425",ラブくて激しいハーレム入院生活！キャノプリcomicの大人気連載作品が待望の単行本化！ツンロリ看護師・綾野が想いをよせる藤村は、なぜかモテモテ。巨乳グラマー、ロリっ娘女医、ゴスロリ美少女、眼鏡姉さんとやりまくり?果たして綾野の恋の結末は……!?「こんなにたくさん…うれしい?」かけまくり、イラマチオ多めで飛ばしまくっております！,1028,https://comic.gotbb.jp/comics/separatevolume/momoiro,https://comic.gotbb.jp/images/products/20160413_013758_oufw4.jpg,"",https://exhentai.org/g/998478/54043375bd/
"9784860847661",A5,悪戯♀てまんちょ,イソラシ,"20120525",「そんなとこ弄ったらガマン出来ない?」女装して女の子に痴漢を…、妹の同級生と家の廊下で…、ローションまみれの女教師と学校の屋上で…、べろべろに酔った巨乳ＯＬと居酒屋のトイレで…。どこかフェチっぽいツボをつく状況で、美女や美少女といろんな悪戯楽しんじゃいます? 直球エロの描き手・イソラシがフェチさとエロ度を大増量!!,1028,https://comic.gotbb.jp/comics/separatevolume/itazura,https://comic.gotbb.jp/images/products/20160413_013626_FqirD.jpg,"",https://exhentai.org/g/763689/1b33fe9cec/
"9784860848682",A5,獄姦WEBサイト,尾山泰永,"20120623",恋人に近づく女、イジメっ子、横暴な教師。恨みを買う人物たちを、絶望に落とす‘復讐代行サイト’で繰り広げられる、連鎖する復讐。ターゲットが女となれば、復讐の内容は当然、凌辱に！！ 覚えの無い恨みで、何人もの男たちに嬲られ、犯され、汚されまくる！！ 連続極姦の‘復讐代行サイト’シリーズの他に、強烈な媚薬効果を持った温泉を利用した罠にかかる女たちを描く‘湯殿女淫監禁旅館’シリーズも収録！！,1028,https://comic.gotbb.jp/comics/separatevolume/gokukanwebsite,https://comic.gotbb.jp/images/products/20160413_013437_bER8q.jpg,"",https://exhentai.org/g/832787/49f16e2447/
